tau,start_id,ok,optimization_status,solution_status,objective,risk,return,mu_w,kkt_stationarity,kkt_feasibility,kkt_complementarity,gap_to_best,reached_best,solve_time_s,n_iterations,n_selected,selected_assets
0.16496480740980207,rand2,True,SUCCESS,FEASIBLE_KKT_POINT,0.08050636190117533,0.09098436526766268,-0.06351659806117387,0.06351659806117387,1.6971802570220848e-15,0.0,0.0,9.137301872932506,False,0.0027285399846732616,3,4,5|15|24|36
0.16496480740980207,rand3,False,ALGORITHMIC_ERROR,NOT_OPTIMAL,-0.010405230260946093,0.008945076870969328,-0.11729960732682697,0.11729960732682697,0.04286183644961787,1.1102230246251565e-16,1.6210959130398536e-19,,False,0.0027281469956506044,4,6,19|20|21|23|39|44
0.16496480740980207,rand4,True,SUCCESS,FEASIBLE_KKT_POINT,-0.0009787744859356268,0.020579726273247063,-0.1306854540534062,0.1306854540534062,1.1785144956499294e-15,0.0,0.0,0.9010688934671325,False,0.002716649993089959,4,5,2|8|37|41|49
0.2341883126059245,cont,True,SUCCESS,FEASIBLE_KKT_POINT,-0.016947988765616907,0.007437000635041746,-0.1041255608758409,0.1041255608758409,4.634796771942555e-16,0.0,0.0,0.07929065803310442,False,0.0024238380137830973,2,7,1|2|7|11|20|40|49
0.2341883126059245,rand0,True,SUCCESS,FEASIBLE_KKT_POINT,-0.014673914919908458,0.009205066200946414,-0.1019648711549356,0.1019648711549356,1.9995432949808006e-15,0.0,0.0,0.20283104166791743,False,0.0027152310067322105,2,5,9|21|23|24|42
0.2341883126059245,rand1,True,SUCCESS,FEASIBLE_KKT_POINT,0.03600056994357028,0.05896446497698964,-0.09805739141244585,0.09805739141244585,1.3145129691654731e-15,0.0,0.0,2.955751890014592,False,0.0027489509957376868,4,4,7|16|20|36
0.2341883126059245,rand2,True,SUCCESS,FEASIBLE_KKT_POINT,-0.014091171253325662,0.008070121874130878,-0.09463022676433898,0.09463022676433898,1.1047737326414362e-15,0.0,0.0,0.23448893011611255,False,0.0029160889971535653,4,8,8|10|15|20|24|39|40|43
0.2341883126059245,rand3,True,SUCCESS,FEASIBLE_KKT_POINT,-0.016624261559184113,0.014194164267931159,-0.13159677135115763,0.13159677135115763,1.252263703495794e-15,0.0,0.0,0.09687732671196361,False,0.0027394460048526525,4,5,15|18|19|39|41
0.2341883126059245,rand4,True,SUCCESS,FEASIBLE_KKT_POINT,-0.018407534270794407,0.008441917934710129,-0.11464898442940188,0.11464898442940188,2.3406325010805717e-15,0.0,0.0,0.0,True,0.0027151750109624118,4,5,29|31|45|46|47
0.3324597932270942,cont,True,SUCCESS,FEASIBLE_KKT_POINT,-0.02970288094328266,0.008606952189874194,-0.11523147735037079,0.11523147735037079,8.297057439593057e-16,0.0,0.0,0.2143935198737892,False,0.002380618010647595,2,5,29|31|45|46|47
